Sale ID,Date,Item ID,Batch ID,Product Type,Species,Grade,Finish,Dominant Color,Color Count (#),Customer Type,Customer Name,Country,City,Channel,Lead Source,Price (CAD),Discount (CAD),Shipping (CAD),Taxes Collected (CAD),Payment Method,COA #,Shipped Date,Consignment? (Y/N),Consignment Owner,Export Permit (PDF link),length,width,weight,Channel_Type,Days_To_Ship,Jewelry Type,Metal Type
S-0292,2025-08-21,I-0292,B-2025-004,Freeform,Bluezone,AA,Coated,Gold/Orange,3,Retail Collector,Jennifer Taylor,Canada,Toronto,Online,Partner,1095.45,0.0,345.0,54.77,Wire,COA-000391,2025-11-11,N,,,115.0,69.0,272.1,Wholesale,82,,
S-0293,2025-02-06,I-0293,B-2025-027,Freeform,Bluezone,A,Polished,Red/Green,1,Wholesaler,Natural History Museum,United Kingdom,Birmingham,Wholesale,Partner,205.0,0.0,329.0,0.0,PayPal,COA-000392,2025-11-11,N,,C:\Permits\EXP-4575.pdf,100.0,41.0,423.7,Wholesale,278,,
S-0294,2025-10-07,I-0294,B-2025-039,Freeform,Dragon Scale,A,Coated,Red/Green,2,Retail Collector,Robert Smith,United States,Portland,Wholesale,Google Ads,1708.0,163.0,344.0,0.0,Cheque,COA-000393,2025-10-10,N,,C:\Permits\EXP-5536.pdf,40.0,90.0,599.7,Wholesale,3,,
S-0295,2025-10-29,I-0295,B-2025-084,Freeform,Dragon Scale,B,Coated,Blue/Green,1,Museum,Earth Arts Gallery,United Kingdom,London,Wholesale,Trade Show,2368.0,0.0,271.0,0.0,EFT,COA-000394,2025-11-02,N,,C:\Permits\EXP-1578.pdf,106.0,55.0,549.8,Wholesale,4,,
S-0296,2025-06-30,I-0296,B-2025-091,Freeform,Dragon Scale,A,Coated,Rainbow,2,Interior Designer,Jennifer Williams,Canada,Ottawa,Online,Trade Show,3000.0,0.0,353.0,150.0,Wire,COA-000395,2025-10-26,N,,,68.0,85.0,553.3,Retail,118,,
S-0297,2025-04-05,I-0297,B-2025-098,Freeform,Dragon Scale,B,Coated,Red/Green,1,Wholesaler,Crystal Palace Gallery,United States,Denver,Online,Trade Show,1469.33,0.0,390.0,0.0,Square,COA-000396,2025-10-14,N,,C:\Permits\EXP-2166.pdf,68.0,70.0,211.7,Retail,192,,
S-0298,2025-04-09,I-0298,B-2025-025,Freeform,Dragon Scale,AAA,Coated,Multicolor,4,Museum,Mineral Treasures,United States,Denver,Wholesale,Partner,720.0,0.0,375.0,0.0,Cheque,COA-000397,2025-08-30,N,,C:\Permits\EXP-2324.pdf,92.0,31.0,535.4,Wholesale,143,,
S-0299,2025-07-07,I-0299,B-2025-043,Freeform,Dragon Scale,B,Coated,Red/Green,1,Interior Designer,Lisa Rodriguez,Canada,Edmonton,Wholesale,Trade Show,832.0,0.0,450.0,41.6,EFT,COA-000398,2025-09-07,N,,,40.0,82.0,236.8,Wholesale,62,,
S-0300,2025-04-26,I-0300,B-2025-001,Freeform,Bluezone,A,Coated,Multicolor,1,Wholesaler,Mineral Treasures,United Kingdom,Birmingham,Online,Trade Show,59.0,0.0,315.0,0.0,Credit Card,COA-000399,2025-07-16,N,,C:\Permits\EXP-3736.pdf,107.0,49.0,109.0,Retail,81,,
S-0301,2025-07-10,I-0301,B-2025-006,Freeform,Dragon Scale,B,Coated,Purple/Green,1,Gallery,Natural History Museum,United States,New York,Online,Referral,3220.0,0.0,450.0,0.0,Wire,COA-000400,2025-07-14,N,,C:\Permits\EXP-3149.pdf,116.0,68.0,316.8,Wholesale,4,,
S-0302,2025-09-10,I-0302,B-2025-094,Freeform,Dragon Scale,A,Polished,Multicolor,1,Retail Collector,Jessica Taylor,United Kingdom,London,Online,Instagram,178.35,0.0,224.0,0.0,Cheque,COA-000401,2025-09-14,Y,Mountain Minerals,C:\Permits\EXP-7230.pdf,123.0,29.0,287.6,Wholesale,4,,
S-0303,2025-06-10,I-0303,B-2025-071,Freeform,Dragon Scale,A,Polished,Rainbow,2,Gallery,Natural History Museum,United Kingdom,Bristol,Online,Website,156.0,0.0,338.0,0.0,Cheque,COA-000402,2025-06-11,N,,C:\Permits\EXP-5631.pdf,120.0,26.0,250.6,Wholesale,1,,
S-0304,2025-09-13,I-0304,B-2025-014,Freeform,Bluezone,AA,Polished,Purple/Green,3,Museum,Gemstone Emporium,United States,New York,Online,Instagram,455.0,0.0,480.0,0.0,Square,COA-000403,2025-09-14,N,,C:\Permits\EXP-2809.pdf,65.0,70.0,451.7,Wholesale,1,,
S-0305,2025-05-08,I-0305,B-2025-086,Freeform,Dragon Scale,AAA,Polished,Red/Green,3,Gallery,Golden Leaf Gallery,Canada,Calgary,Wholesale,Google Ads,444.6,0.0,437.0,22.23,Cheque,COA-000404,2025-10-21,N,,,52.0,57.0,422.2,Wholesale,166,,
S-0306,2025-01-18,I-0306,B-2025-013,Freeform,Dragon Scale,AAA,Polished,Rainbow,4,Gallery,Artisan Stone Gallery,United States,Los Angeles,Wholesale,Trade Show,613.05,0.0,247.0,0.0,EFT,COA-000405,2025-03-01,N,,C:\Permits\EXP-7319.pdf,61.0,67.0,278.8,Wholesale,42,,
S-0307,2025-10-08,I-0307,B-2025-062,Freeform,Bluezone,A,Polished,Blue/Green,1,Museum,Gemstone Emporium,Canada,Montreal,Online,Partner,105.75,143.0,424.0,-1.86,Cheque,COA-000406,2025-11-11,N,,,47.0,45.0,151.9,Wholesale,34,,
S-0308,2025-08-11,I-0308,B-2025-062,Freeform,Dragon Scale,AAA,Coated,Red/Green,4,Gallery,Gemstone Emporium,United Kingdom,Bristol,Online,Trade Show,103.08,0.0,495.0,0.0,Cheque,COA-000407,2025-08-12,N,,C:\Permits\EXP-8895.pdf,48.0,58.0,427.5,Wholesale,1,,
S-0309,2025-02-23,I-0309,B-2025-085,Freeform,Dragon Scale,A,Polished,Purple/Green,1,Museum,Gemstone Emporium,Canada,Calgary,Online,Google Ads,59.8,0.0,453.0,2.99,PayPal,COA-000408,2025-06-27,Y,Ammolite Guild,,46.0,26.0,421.7,Wholesale,124,,
S-0310,2025-02-27,I-0310,B-2025-083,Freeform,Dragon Scale,AA,Polished,Gold/Orange,2,Retail Collector,Michael Jones,United States,Portland,Wholesale,Instagram,787.2,0.0,260.0,0.0,Credit Card,COA-000409,2025-10-09,N,,C:\Permits\EXP-2489.pdf,96.0,82.0,144.0,Wholesale,224,,
S-0311,2025-06-23,I-0311,B-2025-080,Freeform,Dragon Scale,AA,Polished,Rainbow,3,Interior Designer,Robert Wilson,United Kingdom,Bristol,Wholesale,Email Campaign,666.4,0.0,369.0,0.0,EFT,COA-000410,2025-11-06,Y,Ammolite Guild,C:\Permits\EXP-1035.pdf,98.0,68.0,281.7,Wholesale,136,,
S-0312,2025-10-07,I-0312,B-2025-046,Freeform,Dragon Scale,B,Coated,Purple/Green,1,Interior Designer,David Johnson,Canada,Vancouver,Online,Partner,778.67,0.0,409.0,38.93,EFT,COA-000411,2025-10-11,N,,,87.0,38.0,122.9,Retail,4,,
S-0313,2025-04-24,I-0313,B-2025-092,Freeform,Bluezone,AAA,Coated,Rainbow,3,Retail Collector,Maria Wilson,Canada,Toronto,Online,Website,1705.38,137.0,458.0,78.42,EFT,COA-000412,2025-05-01,N,,,115.0,40.0,486.1,Wholesale,7,,
S-0314,2025-10-15,I-0314,B-2025-066,Freeform,Bluezone,A,Polished,Blue/Green,1,Gallery,Earth Arts Gallery,United States,Denver,Wholesale,Google Ads,196.1,0.0,396.0,0.0,PayPal,COA-000413,2025-10-17,N,,C:\Permits\EXP-3185.pdf,53.0,74.0,428.8,Wholesale,2,,
S-0315,2025-05-31,I-0315,B-2025-053,Freeform,Bluezone,A,Coated,Purple/Green,1,Interior Designer,Maria Wilson,United Kingdom,Manchester,Wholesale,Email Campaign,2931.0,0.0,267.0,0.0,Square,COA-000414,2025-06-07,N,,C:\Permits\EXP-8870.pdf,80.0,52.0,200.4,Wholesale,7,,
S-0316,2025-05-07,I-0316,B-2025-074,Freeform,Dragon Scale,A,Coated,Red/Green,2,Wholesaler,Earth Arts Gallery,United States,New York,Online,Partner,667.0,0.0,302.0,0.0,Square,COA-000415,2025-10-26,N,,C:\Permits\EXP-5835.pdf,106.0,38.0,112.6,Retail,172,,
S-0317,2025-06-04,I-0317,B-2025-097,Freeform,Dragon Scale,AAA,Coated,Purple/Green,4,Retail Collector,Amanda Jones,United Kingdom,Birmingham,Wholesale,Trade Show,2113.08,0.0,461.0,0.0,Cheque,COA-000416,2025-06-10,N,,C:\Permits\EXP-1881.pdf,111.0,53.0,471.2,Wholesale,6,,
S-0318,2025-04-13,I-0318,B-2025-701,Hand Sample,Dragon Scale,AAA,Polished,Blue/Green,3,Gallery,Ava Mitchell,Canada,Calgary,Online,Website,384.38,0.0,200.0,19.22,Wire,COA-000417,2025-11-11,N,,C:\Permits\EXP-0701.pdf,50.0,41.0,251.3,Wholesale,212,,
S-0319,2025-09-28,I-0319,B-2025-702,Hand Sample,Dragon Scale,A,Stabilized,Red/Green,1,Gallery,Benjamin Foster,Canada,Calgary,Online,Website,295.31,0.0,300.0,14.77,Credit Card,COA-000418,2025-11-11,N,,C:\Permits\EXP-0701.pdf,75.0,63.0,323.6,Wholesale,44,,
S-0320,2025-04-17,I-0320,B-2025-703,Hand Sample,Bluezone,B,Polished,Green/Blue,1,Gallery,Chloe Anderson,United States,Boise,Wholesale,Referral,76.88,0.0,450.0,0.0,Cheque,COA-000419,2025-11-11,N,,C:\Permits\EXP-0701.pdf,50.0,41.0,567.7,Wholesale,208,,
S-0321,2025-03-13,I-0321,B-2025-704,Hand Sample,Bluezone,AA,Stabilized,Red/Orange,2,Museum,Lucas Reed,Brazil,Salvador,Online,Google Ads,409.5,50.0,1000.0,0.0,PayPal,COA-000420,2025-11-11,N,,C:\Permits\EXP-0701.pdf,63.0,52.0,633.1,Wholesale,243,,
S-0322,2025-07-08,I-0322,B-2025-705,Hand Sample,Bluezone,AA,Stabilized,Purple/Red,3,Museum,Joyce Gallery,Mexico,Tijuana,Online,Instagram,549.0,0.0,1050.0,0.0,PayPal,COA-000421,2025-11-11,Y,Joyce Gallery,C:\Permits\EXP-0701.pdf,72.0,61.0,345.9,Wholesale,126,,
S-0323,2025-01-21,I-0323,B-2025-706,Hand Sample,Dragon Scale,A,Polished,Green/Gold,1,Gallery,Daniel Roberts,France,Marseille,Online,Website,229.5,0.0,500.0,0.0,EFT,COA-000422,2025-11-11,N,,C:\Permits\EXP-0701.pdf,68.0,54.0,406.9,Wholesale,294,,
S-0324,2025-04-13,I-0324,B-2025-707,Hand Sample,Dragon Scale,AAA,Stabilized,Teal/Blue,4,Gallery,Harper Collins,Brazil,Fortaleza,Online,Facebook,688.5,0.0,650.0,0.0,EFT,COA-000423,2025-11-11,N,,C:\Permits\EXP-0701.pdf,68.0,54.0,487.4,Wholesale,212,,
S-0325,2025-05-02,I-0325,B-2025-708,Hand Sample,Bluezone,AAA,Polished,Red/Green,4,Gallery,Maria Santos,Japan,Kyoto,Online,Facebook,885.94,0.0,600.0,0.0,Credit Card,COA-000424,2025-11-11,N,,C:\Permits\EXP-0701.pdf,75.0,63.0,703.5,Wholesale,193,,
S-0326,2025-08-03,I-0326,B-2025-709,Hand Sample,Bluezone,AA,Stabilized,Multicolor,4,Museum,Elijah Morgan,South Korea,Seoul,Wholesale,Outbound Call,787.5,200.0,900.0,0.0,PayPal,COA-000425,2025-11-11,N,,C:\Permits\EXP-0701.pdf,84.0,75.0,298.7,Wholesale,100,,
S-0327,2025-03-29,I-0327,B-2025-710,Hand Sample,Bluezone,AA,Stabilized,Green/Gold,3,Gallery,Liam Thompson,Russia,Moscow,Online,Instagram,616.0,0.0,1800.0,0.0,Wire,COA-000426,2025-11-11,N,,C:\Permits\EXP-0701.pdf,77.0,64.0,707.4,Wholesale,227,,
S-0328,2025-04-10,I-0328,B-2025-711,Hand Sample,Bluezone,Collectibles,Polished,Multicolor,4,Gallery,Grace Turner,Ireland,Dublin,Online,Instagram,911.25,0.0,790.0,0.0,Square,COA-000427,2025-11-11,N,,C:\Permits\EXP-0701.pdf,54.0,45.0,335.7,Wholesale,215,,
S-0329,2025-06-01,I-0329,B-2025-712,Hand Sample,Dragon Scale,A,Polished,Blue/Green,1,Museum,Olivia Grant,Canada,Vancouver,Wholesale,Trade Show,128.12,0.0,960.0,6.41,Credit Card,COA-000428,2025-11-11,N,,C:\Permits\EXP-0701.pdf,50.0,41.0,567.7,Wholesale,163,,
S-0330,2025-05-11,I-0330,B-2025-713,Hand Sample,Dragon Scale,A,Stabilized,Multicolor,1,Museum,Henry Lawson,Canada,Edmonton,Online,Website,200.81,0.0,900.0,10.04,Credit Card,COA-000429,2025-11-11,N,,C:\Permits\EXP-0701.pdf,63.0,51.0,305.5,Wholesale,184,,
S-0331,2025-05-30,I-0331,B-2025-714,Hand Sample,Dragon Scale,B,Stabilized,Purple/Red,1,Gallery,Ethan Clarke,United States,Seattle,Online,Facebook,137.7,0.0,560.0,0.0,Square,COA-000430,2025-11-11,N,,C:\Permits\EXP-0701.pdf,68.0,54.0,473.5,Wholesale,165,,
S-0332,2025-11-05,I-0332,B-2025-715,Hand Sample,Bluezone,AA,Polished,Green/Gold,2,Gallery,Mila Reynolds,Mexico,Monterrey,Online,Instagram,256.25,100.0,300.0,0.0,Square,COA-000431,2025-11-11,N,,C:\Permits\EXP-0701.pdf,50.0,41.0,656.7,Wholesale,6,,
S-0333,2025-09-15,I-0333,B-2025-716,Hand Sample,Dragon Scale,AA,Polished,Green/Blue,3,Museum,Sophia Bennett,Canada,Lethbridge,Wholesale,Referral,315.0,0.0,290.0,15.75,PayPal,COA-000432,2025-11-11,N,,C:\Permits\EXP-0701.pdf,56.0,45.0,323.6,Wholesale,57,,
S-0334,2025-10-21,I-0334,B-2025-717,Hand Sample,Bluezone,AAA,Stabilized,Red/Orange,3,Gallery,Jacob Stewart,France,Paris,Online,Facebook,823.5,0.0,800.0,0.0,EFT,COA-000433,2025-11-11,N,,C:\Permits\EXP-0701.pdf,72.0,61.0,749.3,Wholesale,21,,
S-0335,2025-07-11,I-0335,B-2025-718,Hand Sample,Bluezone,A,Polished,Blue/Green,1,Museum,Noah Patterson,Russia,Omsk,Online,Website,295.31,0.0,960.0,0.0,EFT,COA-000434,2025-11-11,N,,C:\Permits\EXP-0701.pdf,75.0,63.0,703.5,Wholesale,123,,
S-0336,2025-10-04,I-0336,B-2025-719,Hand Sample,Dragon Scale,A,Stabilized,Teal/Blue,1,Museum,Lily Chapman,Ireland,Cork,Online,Google Ads,145.75,0.0,1200.0,0.0,Square,COA-000435,2025-11-11,N,,C:\Permits\EXP-0701.pdf,53.0,44.0,335.7,Wholesale,38,,
S-0337,2025-06-10,I-0337,B-2025-720,Hand Sample,Bluezone,AA,Polished,Green/Blue,4,Museum,Isabella Hayes,Canada,Edmonton,Wholesale,Outbound Call,523.62,0.0,2000.0,26.18,PayPal,COA-000436,2025-11-11,N,,C:\Permits\EXP-0701.pdf,71.0,59.0,358.9,Wholesale,154,,
S-0338,2025-11-10,I-0338,B-2025-721,Hand Sample,Bluezone,A,Stabilized,Red/Green,2,Gallery,Samuel Hayes,South Korea,Busan,Online,Website,345.62,0.0,300.0,0.0,PayPal,COA-000437,2025-11-11,N,,C:\Permits\EXP-0701.pdf,79.0,70.0,251.3,Wholesale,1,,
S-0339,2025-01-22,I-0339,B-2025-722,Hand Sample,Bluezone,AAA,Polished,Multicolor,4,Museum,Mason Wright,Canada,Calgary,Online,Instagram,491.62,0.0,960.0,24.58,Wire,COA-000438,2025-11-11,N,,C:\Permits\EXP-0701.pdf,57.0,46.0,633.1,Wholesale,293,,
S-0340,2025-09-10,I-0340,B-2025-723,Hand Sample,Bluezone,A,Stabilized,Blue/Green,1,Gallery,George Art Museum,Brazil,Belo Horizonte,Online,Instagram,369.0,0.0,600.0,0.0,Credit Card,COA-000439,2025-11-11,Y,George Art Museum,C:\Permits\EXP-0701.pdf,82.0,72.0,582.7,Wholesale,62,,
S-0341,2025-08-24,I-0341,B-2025-724,Hand Sample,Bluezone,AA,Stabilized,Red/Orange,3,Gallery,Aria Sullivan,Japan,Tokyo,Online,Website,474.38,0.0,1000.0,0.0,PayPal,COA-000440,2025-11-11,N,,C:\Permits\EXP-0701.pdf,69.0,55.0,707.4,Wholesale,79,,
S-0342,2025-02-18,I-0342,B-2025-725,Hand Sample,Dragon Scale,AA,Polished,Green/Blue,3,Gallery,Jackson Porter,Canada,Calgary,Online,Facebook,616.0,0.0,780.0,30.8,Wire,COA-000441,2025-11-11,N,,C:\Permits\EXP-0701.pdf,77.0,64.0,487.4,Wholesale,266,,
S-0343,2025-02-28,I-0343,B-2025-726,Hand Sample,Bluezone,A,Stabilized,Purple/Red,1,Gallery,Emma Blake,Mexico,Guadalajara,Online,Google Ads,128.12,70.0,750.0,0.0,Credit Card,COA-000442,2025-11-11,N,,C:\Permits\EXP-0701.pdf,50.0,41.0,567.7,Wholesale,256,,
S-0344,2025-06-19,I-0344,B-2025-727,Hand Sample,Dragon Scale,AAA,Polished,Green/Gold,3,Museum,Zoe Carter,United States,Boise,Online,Facebook,688.5,0.0,450.0,0.0,Square,COA-000443,2025-11-11,N,,C:\Permits\EXP-0701.pdf,68.0,54.0,345.9,Wholesale,145,,
S-0345,2025-07-07,I-0345,B-2025-728,Hand Sample,Bluezone,AAA,Stabilized,Green/Blue,3,Museum,Logan Harrington,France,Marseille,Online,Website,885.94,0.0,690.0,0.0,EFT,COA-000444,2025-11-11,N,,C:\Permits\EXP-0701.pdf,75.0,63.0,323.6,Wholesale,127,,
S-0346,2025-09-28,I-0346,B-2025-729,Hand Sample,Bluezone,AA,Stabilized,Red/Orange,2,Gallery,Gabriel Pierce,Canada,Vancouver,Wholesale,Referral,315.0,0.0,548.0,15.75,EFT,COA-000445,2025-11-11,N,,C:\Permits\EXP-0701.pdf,56.0,45.0,517.3,Wholesale,44,,
S-0347,2025-07-09,I-0347,B-2025-730,Hand Sample,Dragon Scale,A,Polished,Red/Green,1,Museum,Natalie Cross,South Korea,Seoul,Online,Instagram,378.69,0.0,650.0,0.0,Credit Card,COA-000446,2025-11-11,N,,C:\Permits\EXP-0701.pdf,83.0,73.0,703.5,Wholesale,125,,
S-0348,2025-06-24,I-0348,B-2025-731,Hand Sample,Dragon Scale,A,Polished,Teal/Blue,2,Museum,Leah Hammond,Canada,Vancouver,Online,Website,128.12,0.0,320.0,6.41,Square,COA-000447,2025-11-11,N,,C:\Permits\EXP-0701.pdf,50.0,41.0,305.5,Wholesale,140,,
S-0349,2025-02-20,I-0349,B-2025-732,Hand Sample,Dragon Scale,AA,Stabilized,Blue/Green,3,Gallery,Carter Jennings,Russia,Samara,Wholesale,Trade Show,401.62,0.0,850.0,0.0,EFT,COA-000448,2025-11-11,N,,C:\Permits\EXP-0701.pdf,63.0,51.0,406.9,Wholesale,264,,
S-0350,2025-02-24,I-0350,B-2025-733,Hand Sample,Bluezone,Collectibles,Stabilized,Red/Orange,4,Museum,Caleb Dawson,Brazil,Salvador,Online,Instagram,2362.5,0.0,940.0,0.0,PayPal,COA-000449,2025-11-11,N,,C:\Permits\EXP-0701.pdf,84.0,75.0,278.7,Wholesale,260,,
S-0351,2025-09-01,I-0351,B-2025-734,Hand Sample,Dragon Scale,AA,Polished,Peacock,4,Museum,Claire Donovan,China,Beijing,Online,Instagram,523.62,0.0,620.0,0.0,Credit Card,COA-000450,2025-11-11,N,,C:\Permits\EXP-0701.pdf,71.0,59.0,685.2,Wholesale,71,,
S-0352,2025-05-11,I-0352,B-2025-735,Hand Sample,Dragon Scale,AA,Stabilized,Peacock,2,Museum,Victoria Shields,Ireland,Bray,Online,Facebook,303.75,0.0,320.0,0.0,PayPal,COA-000451,2025-11-11,N,,C:\Permits\EXP-0701.pdf,54.0,45.0,451.6,Wholesale,184,,
S-0353,2025-11-03,I-0353,B-2025-736,Hand Sample,Dragon Scale,Collectibles,Polished,Multicolor,4,Gallery,Wyatt Brooks,United States,Seattle,Online,Google Ads,2214.0,0.0,750.0,0.0,PayPal,COA-000452,2025-11-11,N,,C:\Permits\EXP-0701.pdf,82.0,72.0,781.3,Wholesale,8,,
S-0354,2025-05-15,I-0354,B-2025-737,Hand Sample,Bluezone,A,Polished,Purple/Red,1,Gallery,Adrian Burke,Canada,Edmonton,Online,Facebook,295.31,0.0,960.0,14.77,Cheque,COA-000453,2025-11-11,N,,C:\Permits\EXP-0701.pdf,75.0,63.0,487.4,Wholesale,180,,
S-0355,2025-01-21,I-0355,B-2025-738,Hand Sample,Dragon Scale,A,Stabilized,Blue/Green,2,Gallery,Hannah Preston,Canada,Edmonton,Online,Website,145.75,0.0,850.0,7.29,Credit Card,COA-000454,2025-11-11,N,,C:\Permits\EXP-0701.pdf,53.0,44.0,298.7,Wholesale,294,,
S-0356,2025-06-16,I-0356,B-2025-739,Hand Sample,Dragon Scale,AAA,Polished,Green/Gold,5,Gallery,Scarlett James,Mexico,Tijuana,Online,Facebook,823.5,0.0,650.0,0.0,Wire,COA-000455,2025-11-11,N,,C:\Permits\EXP-0701.pdf,72.0,61.0,517.3,Wholesale,148,,
S-0357,2025-10-01,I-0357,B-2025-740,Hand Sample,Dragon Scale,AA,Stabilized,Peacock,3,Museum,Dylan Rivers,Canada,Lethbridge,Online,Website,327.75,90.0,360.0,11.89,EFT,COA-000456,2025-11-11,N,,C:\Permits\EXP-0701.pdf,57.0,46.0,251.3,Wholesale,41,,
S-0358,2025-03-30,I-0358,B-2025-741,Hand Sample,Dragon Scale,B,Polished,Green/Blue,1,Gallery,Julian Porter,France,Paris,Wholesale,Outbound Call,76.88,0.0,980.0,0.0,Wire,COA-000457,2025-11-11,N,,C:\Permits\EXP-0701.pdf,50.0,41.0,335.7,Wholesale,226,,
S-0359,2025-01-14,I-0359,B-2025-742,Hand Sample,Bluezone,A,Stabilized,Red/Green,1,Museum,Fraser Public Art,United States,Texas,Online,Instagram,325.88,0.0,360.0,0.0,Square,COA-000458,2025-11-11,Y,Fraser Public Art,C:\Permits\EXP-0701.pdf,79.0,66.0,633.1,Wholesale,301,,
S-0360,2025-08-30,I-0360,B-2025-743,Hand Sample,Dragon Scale,AAA,Stabilized,Teal/Blue,4,Museum,Nora Higgins,Japan,Tokyo,Wholesale,Referral,384.38,0.0,700.0,0.0,Square,COA-000459,2025-11-11,N,,C:\Permits\EXP-0701.pdf,50.0,41.0,345.9,Wholesale,73,,
S-0361,2025-09-22,I-0361,B-2025-744,Hand Sample,Dragon Scale,AA,Stabilized,Peacock,4,Gallery,Oliver Bates,Brazil,Salvador,Online,Website,315.0,0.0,800.0,0.0,EFT,COA-000460,2025-11-11,N,,C:\Permits\EXP-0701.pdf,56.0,45.0,398.3,Wholesale,50,,
S-0362,2025-02-22,I-0362,B-2025-745,Hand Sample,Dragon Scale,Collectibles,Polished,Peacock,4,Gallery,Maya Ellis,Russia,Moscow,Wholesale,Trade Show,1377.0,0.0,400.0,0.0,PayPal,COA-000461,2025-11-11,N,,C:\Permits\EXP-0701.pdf,68.0,54.0,703.5,Wholesale,262,,
S-0363,2025-04-02,I-0363,B-2025-746,Hand Sample,Dragon Scale,A,Stabilized,Green/Blue,1,Museum,Ruby Sinclair,South Korea,Seoul,Online,Instagram,295.31,0.0,500.0,0.0,PayPal,COA-000462,2025-11-11,N,,C:\Permits\EXP-0701.pdf,75.0,63.0,582.7,Wholesale,223,,
S-0364,2025-09-21,I-0364,B-2025-747,Hand Sample,Dragon Scale,AAA,Polished,Purple/Red,3,Gallery,Theodore Price,Canada,Edmonton,Online,Google Ads,491.62,0.0,1000.0,24.58,PayPal,COA-000463,2025-11-11,N,,C:\Permits\EXP-0701.pdf,57.0,46.0,567.7,Wholesale,51,,
S-0365,2025-02-04,I-0365,B-2025-748,Hand Sample,Dragon Scale,AA,Stabilized,Blue/Green,4,Museum,Tristan Cole,Mexico,Tijuana,Online,Facebook,616.0,0.0,600.0,0.0,Credit Card,COA-000464,2025-11-11,N,,C:\Permits\EXP-0701.pdf,77.0,64.0,707.4,Wholesale,280,,
S-0366,2025-07-25,I-0366,B-2025-749,Hand Sample,Bluezone,B,Polished,Green/Gold,2,Gallery,Camille Rhodes,Canada,Lethbridge,Online,Facebook,236.25,0.0,300.0,11.81,Square,COA-000465,2025-11-11,N,,C:\Permits\EXP-0701.pdf,84.0,75.0,685.2,Wholesale,109,,
S-0367,2025-03-22,I-0367,B-2025-750,Hand Sample,Bluezone,B,Stabilized,Red/Orange,1,Gallery,Evelyn Hart,Canada,Calgary,Online,Facebook,164.7,0.0,900.0,8.24,EFT,COA-000466,2025-11-11,N,,C:\Permits\EXP-0701.pdf,72.0,61.0,404.9,Wholesale,234,,
S-0368,2025-02-19,I-0368,B-2025-751,Hand Sample,Bluezone,AAA,Polished,Red/Green,3,Museum,Ashton Cole,Russia,Samara,Online,Website,455.62,50.0,200.0,0.0,EFT,COA-000467,2025-11-11,N,,C:\Permits\EXP-0701.pdf,54.0,45.0,323.6,Wholesale,265,,
S-0369,2025-01-02,I-0369,B-2025-752,Hand Sample,Dragon Scale,AA,Polished,Fiery Red,3,Gallery,Marcus Langford,France,Paris,Online,Website,256.25,0.0,250.0,0.0,Wire,COA-000468,2025-11-11,N,,C:\Permits\EXP-0701.pdf,50.0,41.0,305.5,Wholesale,313,,
S-0370,2025-02-23,I-0370,B-2025-753,Hand Sample,Bluezone,AAA,Stabilized,Multicolor,3,Gallery,Layla Monroe,United States,Boise,Wholesale,Trade Show,1107.0,0.0,850.0,0.0,Credit Card,COA-000469,2025-11-11,N,,C:\Permits\EXP-0701.pdf,82.0,72.0,298.7,Wholesale,261,,
S-0371,2025-04-16,I-0371,B-2025-754,Hand Sample,Dragon Scale,A,Stabilized,Fiery Red,1,Gallery,Penelope Briggs,Japan,Kyoto,Online,Instagram,200.81,0.0,960.0,0.0,Wire,COA-000470,2025-11-11,N,,C:\Permits\EXP-0701.pdf,63.0,51.0,406.9,Wholesale,209,,
S-0372,2025-09-17,I-0372,B-2025-755,Hand Sample,Bluezone,AAA,Stabilized,Teal/Blue,3,Museum,Dominic Walsh,Brazil,Fortaleza,Wholesale,Outbound Call,384.38,0.0,365.0,0.0,PayPal,COA-000471,2025-11-11,N,,C:\Permits\EXP-0701.pdf,50.0,41.0,512.4,Wholesale,55,,
S-0373,2025-11-06,I-0373,B-2025-756,Hand Sample,Dragon Scale,AA,Polished,Fiery Red,4,Gallery,Owen Whitaker,South Korea,Busan,Online,Google Ads,590.62,0.0,456.0,0.0,Square,COA-000472,2025-11-11,N,,C:\Permits\EXP-0701.pdf,75.0,63.0,487.4,Wholesale,5,,
S-0374,2025-07-10,I-0374,B-2025-757,Hand Sample,Bluezone,AAA,Polished,Blue/Green,5,Museum,Minds Museum,Canada,Vancouver,Wholesale,Referral,785.44,0.0,789.0,39.27,Square,COA-000473,2025-11-11,Y,Minds Museum,C:\Permits\EXP-0701.pdf,71.0,59.0,649.7,Wholesale,124,,
S-0375,2025-08-06,I-0375,B-2025-758,Hand Sample,Dragon Scale,A,Stabilized,Purple/Red,1,Gallery,lena Parker,France,Marseille,Online,Instagram,145.75,0.0,1230.0,0.0,Credit Card,COA-000474,2025-11-11,N,,C:\Permits\EXP-0701.pdf,53.0,44.0,345.9,Wholesale,97,,
S-0376,2025-02-13,I-0376,B-2025-759,Hand Sample,Bluezone,AAA,Stabilized,Green/Gold,3,Gallery,Brandon Ellis,Russia,Omsk,Online,Website,472.5,0.0,859.0,0.0,PayPal,COA-000475,2025-11-11,N,,C:\Permits\EXP-0701.pdf,56.0,45.0,251.3,Wholesale,271,,
